title,author,create,reply,view
R的工作机会多吗？还是属于附属技能？,daniel,2012-7-1,20,156
ks.test检验时，出现警告信息是什么意思？,ice123,2012-7-4,0,2
[原创] 数据分析要学编程语言？,xiaoyao,2012-5-8,22,245
[求助] 请教ks.test中的参数意思,xpower,2012-5-25,10,86
交作业截止时间可否请老师优化一下,adh,2012-7-2,26,132 
[求助] 关于KS检验,yejf,2012-7-4,3,19
回归方程中相关性检验的Intercept一行的疑问,iamhuyg,2012-7-4,0,3
[原创] 数据关联度分析实例，Pearson/Kendall/Spearman三种方法分析出的结果差异很大，正常吗,ai2ming,2012-7-2,7,42 
如何判断线性回归模型最优？,gzh78cao,2012-7-3,2,23
[R02问题]矩阵为什么拉不直？,生姜,2012-6-25,5,51
我想在.NET中接入R，有什么好的方法,iamhuyg,2012-7-4,0,3 
R的用途定位？,intelchen,2012-7-1,8,46 
[求助] 关于课本例题的问题,长烟慢慢,2012-7-3,5,32 
[FAQ] 老师可否将这两周的作业都做个讲解呢？,chineseair,2012-7-1,5,37
[求助] pearson检验,长烟慢慢,2012-7-4,4,20
3-3题目中茎叶图scale参数的用法？,ai2ming,2012-7-4,0,9 
[原创] 今晚谁将唱响你心目中的“猪之歌”,zhangmaosheng,2012-7-1,19,153
[求助] 3.4问题,长烟慢慢,2012-7-3,3,30 
关于薛毅３.１习题的问题,david,2012-7-3,3,26
推销一下自己的应用吧 (R+Java+PHP)基于新浪微博应用,bsspirit,2012-7-2,28,192
【福利！】带书签的《R-modeling》,zhangmaosheng,2012-6-20,36,257 
[分享] RStudio（R软件小助手）,RAN,2012-6-9,26,196
R能通过命令导出结果吗？,ice123,2012-6-27,11,79
[FAQ] 请问调和曲线图怎么看啊,jituoshiti,2012-6-26,9,68
R如何访问execl表中的数据,fck,2012-7-3,6,41 
做线性回归分析的时候，相关系数有什么用,peter_zhang921,2012-7-3,7,41
关于AIC的论文，重金下载的啊，各位好好看,LuciusJiang,2012-6-4,56,366
[求助] 百分位数的算法，自己计算怎么和公式（quantile）算的不一样,不了峰,2012-6-26,4,55
【问题】3.1,linkagerr,2012-5-23,18,217
~ 这个究竟是什么意思啊?	,id786,2012-6-29,9,77
[求助] 关于3.5的不解,xiaoyao,2012-5-14,15,110
谁能解释下ks.test()参数含义,monolithic,2012-7-3,1,19
怎么给coplot画出的几个图添加序号,peter_zhang921,2012-6-29,3,32
【解释】为什么plot可以画箱线图,peter_zhang921,2012-6-25,17,114
6.1 预测时使用数据框无法进行预测赋值,hunt4game,2012-7-3,1,14
[求助] cor.test检验中的原假设,peter_zhang921,2012-7-3,3,43 
如何让能让输出图形的文件较小呢,alfred,2012-7-1,3,21
R里面的自定义函数如何写返回值？,ai2ming,2012-7-3,1,18
[求助] 脸谱图实际工作中会用在什么场合,sunmoonsh,2012-6-30,7,53
[挑战] R语言对车辆运行轨迹进行分析,cqqsboy,2012-6-30,3,37
请教一个函数VaR（）,fck,2012-6-25,2,33
习题3.4 ks检验怎么做,liyang_sk,2012-7-2,4,45
[FAQ] 弱弱的问一题R的作业题。。。关于正态性检验,rita_dias,2012-5-27,4,87
[求助] 有没有用R建CRM分析模型的？,mosesabc,2012-7-2,2,20
如何看到自己发的所有帖,id786,2012-7-2,2,30
